Found MCP9808!
Ready
Initial Temp: 25.1875*C
Starting at Power level 5
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Starting at Power level 15
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.70
Temp: 24.6250*C
Temp2: 25.70
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.60
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.80
Temp: 24.6875*C
Temp2: 25.80
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.80
Temp: 24.6875*C
Temp2: 25.90
Temp: 24.6875*C
Temp2: 25.90
Temp: 24.6875*C
Temp2: 25.80
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.6875*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.6875*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 26.00
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 25.90
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.7500*C
Temp2: 26.00
Temp: 24.7500*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 25.90
Temp: 24.7500*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.10
Temp: 24.8125*C
Temp2: 26.10
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.10
Temp: 24.8125*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8125*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.00
Temp: 24.8125*C
Temp2: 26.10
Temp: 24.8125*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.9375*C
Temp2: 26.10
Temp: 24.8750*C
Temp2: 26.10
Temp: 24.9375*C
Temp2: 26.10
Temp: 24.9375*C
Temp2: 26.20
Starting at Power level 20
Temp: 24.9375*C
Temp2: 26.20
Temp: 24.9375*C
Temp2: 26.10
Temp: 24.9375*C
Temp2: 26.10
Temp: 24.9375*C
Temp2: 26.20
Temp: 24.9375*C
Temp2: 26.10
Temp: 24.9375*C
Temp2: 26.20
Temp: 24.9375*C
Temp2: 26.20
Temp: 25.0000*C
Temp2: 26.30
Temp: 25.0000*C
Temp2: 26.30
Temp: 24.9375*C
Temp2: 26.30
Temp: 25.0000*C
Temp2: 26.30
Temp: 25.0000*C
Temp2: 26.40
Temp: 25.0000*C
Temp2: 26.30
Temp: 25.0000*C
Temp2: 26.50
Temp: 25.0000*C
Temp2: 26.50
Temp: 25.0000*C
Temp2: 26.50
Temp: 25.0000*C
Temp2: 26.50
Temp: 25.0000*C
Temp2: 26.40
Temp: 25.0000*C
Temp2: 26.50
Temp: 25.0625*C
Temp2: 26.50
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.80
Temp: 25.1250*C
Temp2: 26.70
Temp: 25.1250*C
Temp2: 26.60
Temp: 25.1250*C
Temp2: 26.70
Temp: 25.1250*C
Temp2: 26.80
Temp: 25.1250*C
Temp2: 26.60
Temp: 25.1250*C
Temp2: 26.60
Temp: 25.1250*C
Temp2: 26.70
Temp: 25.1875*C
Temp2: 26.70
Temp: 25.1250*C
Temp2: 26.70
Temp: 25.1875*C
Temp2: 26.70
Temp: 25.1875*C
Temp2: 26.60
Temp: 25.1875*C
Temp2: 26.70
Temp: 25.1875*C
Temp2: 26.70
Temp: 25.1875*C
Temp2: 26.70
Temp: 25.2500*C
Temp2: 26.70
Temp: 25.1875*C
Temp2: 26.70
Temp: 25.2500*C
Temp2: 26.70
Temp: 25.2500*C
Temp2: 26.70
Temp: 25.2500*C
Temp2: 26.70
Temp: 25.2500*C
Temp2: 26.80
Temp: 25.2500*C
Temp2: 26.80
Temp: 25.2500*C
Temp2: 26.80
Temp: 25.2500*C
Temp2: 26.90
Temp: 25.2500*C
Temp2: 26.90
Temp: 25.2500*C
Temp2: 26.90
Temp: 25.3125*C
Temp2: 26.80
Temp: 25.3125*C
Temp2: 26.80
Temp: 25.3125*C
Temp2: 26.80
Temp: 25.3125*C
Temp2: 26.90
Temp: 25.3125*C
Temp2: 27.00
Temp: 25.3125*C
Temp2: 26.90
Temp: 25.3125*C
Temp2: 27.00
Temp: 25.3750*C
Temp2: 27.10
Temp: 25.3125*C
Temp2: 27.10
Temp: 25.3125*C
Temp2: 27.00
Temp: 25.3125*C
Temp2: 27.00
Temp: 25.3750*C
Temp2: 27.00
Temp: 25.3750*C
Temp2: 27.00
Temp: 25.3750*C
Temp2: 27.20
Temp: 25.3750*C
Temp2: 27.30
Temp: 25.3750*C
Temp2: 27.30
Temp: 25.3750*C
Temp2: 27.30
Temp: 25.3750*C
Temp2: 27.20
Temp: 25.4375*C
Temp2: 27.20
Temp: 25.4375*C
Temp2: 27.30
Temp: 25.4375*C
Temp2: 27.30
Temp: 25.4375*C
Temp2: 27.30
Temp: 25.4375*C
Temp2: 27.20
Temp: 25.4375*C
Temp2: 27.30
Temp: 25.4375*C
Temp2: 27.30
Temp: 25.4375*C
Temp2: 27.30
Temp: 25.4375*C
Temp2: 27.30
Temp: 25.4375*C
Temp2: 27.30
Temp: 25.4375*C
Temp2: 27.50
Temp: 25.4375*C
Temp2: 27.50
Temp: 25.4375*C
Temp2: 27.40
Temp: 25.5000*C
Temp2: 27.40
Temp: 25.5000*C
Temp2: 27.40
Starting at Power level 25
Temp: 25.5000*C
Temp2: 27.40
Temp: 25.4375*C
Temp2: 27.40
Temp: 25.5000*C
Temp2: 27.30
Temp: 25.5000*C
Temp2: 27.30
Temp: 25.5625*C
Temp2: 27.40
Temp: 25.5625*C
Temp2: 27.40
Temp: 25.5625*C
Temp2: 27.50
Temp: 25.5000*C
Temp2: 27.40
Temp: 25.5625*C
Temp2: 27.50
Temp: 25.5625*C
Temp2: 27.50
Temp: 25.5625*C
Temp2: 27.60
Temp: 25.5625*C
Temp2: 27.50
Temp: 25.6250*C
Temp2: 27.50
Temp: 25.6250*C
Temp2: 27.50
Temp: 25.6250*C
Temp2: 27.60
Temp: 25.6250*C
Temp2: 27.60
Temp: 25.6250*C
Temp2: 27.60
Temp: 25.6250*C
Temp2: 27.60
Temp: 25.6875*C
Temp2: 27.60
Temp: 25.6250*C
Temp2: 27.70
Temp: 25.6875*C
Temp2: 27.80
Temp: 25.6875*C
Temp2: 27.70
Temp: 25.6875*C
Temp2: 27.60
Temp: 25.6875*C
Temp2: 27.70
Temp: 25.6875*C
Temp2: 27.70
Temp: 25.6875*C
Temp2: 27.70
Temp: 25.6875*C
Temp2: 27.80
Temp: 25.6875*C
Temp2: 27.90
Temp: 25.7500*C
Temp2: 27.90
Temp: 25.7500*C
Temp2: 28.00
Temp: 25.7500*C
Temp2: 27.90
Temp: 25.7500*C
Temp2: 27.90
Temp: 25.8125*C
Temp2: 27.90
Temp: 25.7500*C
Temp2: 28.00
Temp: 25.7500*C
Temp2: 28.00
Temp: 25.8125*C
Temp2: 28.10
Temp: 25.8125*C
Temp2: 28.10
Temp: 25.8125*C
Temp2: 28.00
Temp: 25.8125*C
Temp2: 28.00
Temp: 25.8125*C
Temp2: 28.00
Temp: 25.8125*C
Temp2: 28.00
Temp: 25.8750*C
Temp2: 28.10
Temp: 25.8750*C
Temp2: 28.10
Temp: 25.8750*C
Temp2: 28.10
Temp: 25.8750*C
Temp2: 28.10
Temp: 25.8750*C
Temp2: 28.10
Temp: 25.8750*C
Temp2: 28.10
Temp: 25.8750*C
Temp2: 28.20
Temp: 25.9375*C
Temp2: 28.10
Temp: 25.9375*C
Temp2: 28.10
Temp: 25.9375*C
Temp2: 28.20
Temp: 25.9375*C
Temp2: 28.10
Temp: 25.9375*C
Temp2: 28.10
Temp: 26.0000*C
Temp2: 28.20
Temp: 26.0000*C
Temp2: 28.20
Temp: 26.0000*C
Temp2: 28.20
Temp: 26.0000*C
Temp2: 28.20
Temp: 26.0000*C
Temp2: 28.40
Temp: 26.0000*C
Temp2: 28.30
Temp: 26.0000*C
Temp2: 28.30
Temp: 26.0625*C
Temp2: 28.30
Temp: 26.0000*C
Temp2: 28.40
Temp: 26.0625*C
Temp2: 28.30
Temp: 26.0625*C
Temp2: 28.30
Temp: 26.0625*C
Temp2: 28.40
Temp: 26.0625*C
Temp2: 28.50
Temp: 26.0625*C
Temp2: 28.40
Temp: 26.0625*C
Temp2: 28.50
Temp: 26.0625*C
Temp2: 28.60
Temp: 26.1250*C
Temp2: 28.50
Temp: 26.1250*C
Temp2: 28.40
Temp: 26.1250*C
Temp2: 28.40
Temp: 26.1250*C
Temp2: 28.40
Temp: 26.1250*C
Temp2: 28.40
Temp: 26.1250*C
Temp2: 28.60
Temp: 26.1250*C
Temp2: 28.60
Temp: 26.1250*C
Temp2: 28.50
Temp: 26.1875*C
Temp2: 28.60
Temp: 26.1875*C
Temp2: 28.50
Temp: 26.1875*C
Temp2: 28.50
Temp: 26.1875*C
Temp2: 28.50
Temp: 26.1875*C
Temp2: 28.60
Temp: 26.1875*C
Temp2: 28.60
Temp: 26.2500*C
Temp2: 28.60
Starting at Power level 30
Temp: 26.2500*C
Temp2: 28.50
Temp: 26.2500*C
Temp2: 28.50
Temp: 26.2500*C
Temp2: 28.60
Temp: 26.2500*C
Temp2: 28.60
Temp: 26.2500*C
Temp2: 28.50
Temp: 26.2500*C
Temp2: 28.60
Temp: 26.2500*C
Temp2: 28.60
Temp: 26.2500*C
Temp2: 28.70
Temp: 26.2500*C
Temp2: 28.70
Temp: 26.3125*C
Temp2: 28.60
Temp: 26.3125*C
Temp2: 28.70
Temp: 26.3125*C
Temp2: 28.70
Temp: 26.3125*C
Temp2: 28.80
Temp: 26.3750*C
Temp2: 28.80
Temp: 26.3750*C
Temp2: 28.90
Temp: 26.3750*C
Temp2: 28.90
Temp: 26.3750*C
Temp2: 28.90
Temp: 26.4375*C
Temp2: 28.90
Temp: 26.4375*C
Temp2: 28.90
Temp: 26.4375*C
Temp2: 28.90
Temp: 26.4375*C
Temp2: 29.00
Temp: 26.4375*C
Temp2: 29.00
Temp: 26.4375*C
Temp2: 28.90
Temp: 26.4375*C
Temp2: 29.00
Temp: 26.4375*C
Temp2: 29.00
Temp: 26.5000*C
Temp2: 29.00
Temp: 26.5000*C
Temp2: 29.00
Temp: 26.5000*C
Temp2: 29.10
Temp: 26.5000*C
Temp2: 29.10
Temp: 26.5625*C
Temp2: 29.00
Temp: 26.5625*C
Temp2: 29.10
Temp: 26.5625*C
Temp2: 29.10
Temp: 26.5625*C
Temp2: 29.20
Temp: 26.5625*C
Temp2: 29.20
Temp: 26.5625*C
Temp2: 29.20
Temp: 26.5625*C
Temp2: 29.20
Temp: 26.6250*C
Temp2: 29.30
Temp: 26.5625*C
Temp2: 29.30
Temp: 26.6250*C
Temp2: 29.20
Temp: 26.6250*C
Temp2: 29.20
Temp: 26.6250*C
Temp2: 29.40
Temp: 26.6250*C
Temp2: 29.30
Temp: 26.6250*C
Temp2: 29.30
Temp: 26.6875*C
Temp2: 29.40
Temp: 26.6250*C
Temp2: 29.30
Temp: 26.6875*C
Temp2: 29.40
Temp: 26.6875*C
Temp2: 29.40
Temp: 26.6875*C
Temp2: 29.30
Temp: 26.6875*C
Temp2: 29.30
Temp: 26.6875*C
Temp2: 29.40
Temp: 26.6875*C
Temp2: 29.50
Temp: 26.6875*C
Temp2: 29.40
Temp: 26.7500*C
Temp2: 29.50
Temp: 26.7500*C
Temp2: 29.40
Temp: 26.7500*C
Temp2: 29.50
Temp: 26.7500*C
Temp2: 29.50
Temp: 26.7500*C
Temp2: 29.50
Temp: 26.8125*C
Temp2: 29.50
Temp: 26.8125*C
Temp2: 29.50
Temp: 26.8125*C
Temp2: 29.50
Temp: 26.8125*C
Temp2: 29.60
Temp: 26.8125*C
Temp2: 29.60
Temp: 26.8125*C
Temp2: 29.60
Temp: 26.8750*C
Temp2: 29.60
Temp: 26.8750*C
Temp2: 29.60
Temp: 26.8750*C
Temp2: 29.60
Temp: 26.8750*C
Temp2: 29.60
Temp: 26.8750*C
Temp2: 29.70
Temp: 26.8750*C
Temp2: 29.70
Temp: 26.8750*C
Temp2: 29.80
Temp: 26.8750*C
Temp2: 29.60
Temp: 26.9375*C
Temp2: 29.70
Temp: 26.9375*C
Temp2: 29.70
Temp: 26.9375*C
Temp2: 29.90
Temp: 26.9375*C
Temp2: 29.90
Temp: 26.9375*C
Temp2: 29.80
Temp: 27.0000*C
Temp2: 29.80
Temp: 26.9375*C
Temp2: 29.90
Temp: 26.9375*C
Temp2: 29.90
Temp: 27.0000*C
Temp2: 29.90
Temp: 27.0000*C
Temp2: 29.80
Temp: 27.0000*C
Temp2: 29.80
Temp: 27.0625*C
Temp2: 29.90
Temp: 27.0625*C
Temp2: 29.90
Starting at Power level 35
Temp: 27.0000*C
Temp2: 29.90
Temp: 27.0000*C
Temp2: 29.90
Temp: 27.0625*C
Temp2: 29.90
Temp: 27.0625*C
Temp2: 29.90
Temp: 27.0625*C
Temp2: 30.00
Temp: 27.0625*C
Temp2: 30.00
Temp: 27.0625*C
Temp2: 30.10
Temp: 27.1250*C
Temp2: 30.10
Temp: 27.0625*C
Temp2: 30.20
Temp: 27.1250*C
Temp2: 30.20
Temp: 27.1875*C
Temp2: 30.10
Temp: 27.1250*C
Temp2: 30.10
Temp: 27.1875*C
Temp2: 30.10
Temp: 27.1250*C
Temp2: 30.20
Temp: 27.1875*C
Temp2: 30.30
Temp: 27.1875*C
Temp2: 30.20
Temp: 27.2500*C
Temp2: 30.30
Temp: 27.1875*C
Temp2: 30.40
Temp: 27.1875*C
Temp2: 30.30
Temp: 27.2500*C
Temp2: 30.30
Temp: 27.2500*C
Temp2: 30.40
Temp: 27.2500*C
Temp2: 30.50
Temp: 27.3125*C
Temp2: 30.40
Temp: 27.3125*C
Temp2: 30.40
Temp: 27.3125*C
Temp2: 30.40
Temp: 27.3125*C
Temp2: 30.40
Temp: 27.3125*C
Temp2: 30.40
Temp: 27.3125*C
Temp2: 30.50
Temp: 27.3750*C
Temp2: 30.50
Temp: 27.3125*C
Temp2: 30.50
Temp: 27.3750*C
Temp2: 30.50
Temp: 27.3750*C
Temp2: 30.60
Temp: 27.4375*C
Temp2: 30.60
Temp: 27.4375*C
Temp2: 30.50
Temp: 27.3750*C
Temp2: 30.60
Temp: 27.4375*C
Temp2: 30.60
Temp: 27.4375*C
Temp2: 30.60
Temp: 27.4375*C
Temp2: 30.60
Temp: 27.5000*C
Temp2: 30.80
Temp: 27.5000*C
Temp2: 30.70
Temp: 27.4375*C
Temp2: 30.70
Temp: 27.4375*C
Temp2: 30.60
Temp: 27.5000*C
Temp2: 30.70
Temp: 27.5625*C
Temp2: 30.80
Temp: 27.5000*C
Temp2: 30.70
Temp: 27.5625*C
Temp2: 30.70
Temp: 27.5625*C
Temp2: 30.80
Temp: 27.5625*C
Temp2: 30.70
Temp: 27.5625*C
Temp2: 30.80
Temp: 27.6250*C
Temp2: 30.80
Temp: 27.6250*C
Temp2: 30.80
Temp: 27.6250*C
Temp2: 30.80
Temp: 27.6250*C
Temp2: 30.80
Temp: 27.6250*C
Temp2: 30.80
Temp: 27.6250*C
Temp2: 30.80
Temp: 27.6250*C
Temp2: 30.80
Temp: 27.6250*C
Temp2: 30.80
Temp: 27.6250*C
